#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1014,J1635-1511,2.058,21.078,1.179387,2.32E-16,0.847898,54,*,*,*,*,4.89,4.89,80500000,5580000000000000000000000000000,*
2177,J1919+0134,37.582,-5.563,1.603984,5.89E-16,0.623448,191.9,*,*,*,*,10.23,10.23,43100000,5630000000000000000000000000000,*
54,J0108-1431,140.93,-76.815,0.807565,7.7E-17,1.238291,2.38,*,*,*,*,0.21,0.13,166000000,5770000000000000000000000000000,169.989
664,J1355-6206,310.332,-0.156,0.276603,3.1E-18,3.615289,547,*,*,*,*,7.95,7.95,1410000000,5780000000000000000000000000000,*
2304,J1947+0915,47.713,-8.073,1.480744,4.78E-16,0.675336,94,*,*,*,*,5.8,5.8,49100000,5810000000000000000000000000000,*
567,J1249-6507,302.771,-2.251,0.434445,1.21E-17,2.301788,215,*,*,*,*,8.51,8.51,569000000,5830000000000000000000000000000,*
1515,J1801-3458,356.517,-6.023,1.385604,3.97E-16,0.721707,146,*,*,*,*,4.96,4.96,55200000,5900000000000000000000000000000,*
403,J1034-3224,272.05,22.117,1.15059,2.3E-16,0.869119,50.75,*,*,*,*,4.68,4.68,79100000,5970000000000000000000000000000,*
1179,J1709-4342,343.706,-2.193,1.735898,8E-16,0.576071,281,*,*,*,*,5.49,5.49,34400000,6040000000000000000000000000000,*
321,J0905-4536,267.239,1.011,0.988281,1.49E-16,1.011858,179.7,*,*,*,*,6.35,6.35,105000000,6090000000000000000000000000000,*
943,J1614-5402,330.04,-2.247,0.572592,2.9E-17,1.746443,300,*,*,*,*,6.96,6.96,313000000,6100000000000000000000000000000,*
462,J1117-6447,293.167,-3.719,1.155272,2.4E-16,0.865597,303,*,*,*,*,27.12,27.12,76300000,6140000000000000000000000000000,*
39,J0051+0423,122.962,-58.491,0.354732,7E-18,2.819031,13.9,*,*,*,*,0.94,0.94,803000000,6190000000000000000000000000000,*
290,B0826-34,253.965,2.561,1.848919,9.96E-16,0.540857,52.2,*,*,*,*,0.54,0.54,29400000,6220000000000000000000000000000,*
1830,J1840-0840,24.01,-1.616,5.309377,2.37E-14,0.188346,272,*,*,*,*,4.94,4.94,3550000,6250000000000000000000000000000,*
2163,J1916+1023,45.031,-0.79,1.618339,6.81E-16,0.617918,329.8,*,*,*,*,6.93,6.93,37700000,6340000000000000000000000000000,*
287,B0820+02,221.988,21.245,0.864873,1.05E-16,1.156239,23.73,BT,1232.404,162.1456,CO[kr00],1.44,1.44,131000000,6380000000000000000000000000000,5.099
532,J1220-6318,299.444,-0.652,0.789212,8.03E-17,1.267087,347,*,*,*,*,13.96,13.96,156000000,6450000000000000000000000000000,*
301,J0838-3947,259.606,0.928,1.703946,8.13E-16,0.586873,219,*,*,*,*,8.21,8.21,33200000,6490000000000000000000000000000,*
1735,J1830-1414,17.839,-1.813,0.771493,7.62E-17,1.296189,393.6,*,*,*,*,7.81,7.81,160000000,6550000000000000000000000000000,*
1539,J1805-1504,14.246,3.093,1.181269,2.73E-16,0.846547,225,*,*,*,*,5.3,5.3,68400000,6550000000000000000000000000000,*
1481,J1758-2540,4.263,-0.807,2.107263,1.55E-15,0.474549,218.2,*,*,*,*,3.85,3.85,21500000,6560000000000000000000000000000,*
831,J1538+2345,37.318,52.391,3.449385,6.89E-15,0.289907,14.91,*,*,*,*,0.98,0.98,7930000,6630000000000000000000000000000,*
2092,B1906+09,43.173,0.361,0.83027,9.8E-17,1.204428,249.8,*,*,*,*,5.17,5.17,134000000,6760000000000000000000000000000,*
66,J0137+1654,138.449,-44.571,0.414763,1.22E-17,2.411015,26.6,*,*,*,*,2.51,2.51,537000000,6770000000000000000000000000000,*
1637,J1819-1318,17.497,0.829,1.515696,5.97E-16,0.659763,35.1,*,*,*,*,1.52,1.52,40200000,6770000000000000000000000000000,*
734,J1444-6026,316.4,-0.544,4.758576,1.85E-14,0.210147,367.7,*,*,*,*,8.78,8.78,4070000,6790000000000000000000000000000,*
592,J1307-6318,304.781,-0.497,4.962427,2.11E-14,0.201514,374,*,*,*,*,14.45,14.45,3720000,6830000000000000000000000000000,*
1196,J1714-1054,11.487,15.777,0.696279,5.88E-17,1.436206,51,*,*,*,*,2.65,2.65,188000000,6880000000000000000000000000000,*
1353,J1744-2335,4.463,2.937,1.683507,8.33E-16,0.593998,96.66,*,*,*,*,2.45,2.45,32000000,6890000000000000000000000000000,*
1227,J1720+2150,43.957,29.371,1.615664,7.4E-16,0.618941,41.1,*,*,*,*,3.59,3.59,34600000,6930000000000000000000000000000,*
393,J1021-5601,283.041,0.935,0.670026,5.34E-17,1.492479,212,*,*,*,*,4.18,4.18,199000000,7010000000000000000000000000000,*
585,J1303-6305,304.24,-0.241,2.306642,2.18E-15,0.433531,343,*,*,*,*,13.62,13.62,16800000,7020000000000000000000000000000,*
1002,J1632-1013,5.91,24.636,0.717637,6.6E-17,1.393462,89.9,*,*,*,*,4.22,4.22,172000000,7050000000000000000000000000000,*
172,J0533+0402,200.084,-15.326,0.963018,1.6E-16,1.038403,83.7,*,*,*,*,6.66,6.66,95400000,7070000000000000000000000000000,*
989,J1627-5936,327.341,-7.438,0.354234,8E-18,2.822993,99.3,*,*,*,*,3.67,3.67,702000000,7110000000000000000000000000000,*
1509,J1801-2115,8.446,0.794,0.438113,1.55E-17,2.282515,778.8,*,*,*,*,12.26,12.26,446000000,7300000000000000000000000000000,*
1064,J1646-4308,341.603,1.374,0.84068,1.1E-16,1.189513,595,*,*,*,*,10.96,10.96,121000000,7310000000000000000000000000000,*
1299,J1736-2457,2.331,3.775,2.642223,3.43E-15,0.378469,170,*,*,*,*,4.34,4.34,12200000,7340000000000000000000000000000,*
804,J1528-5547,323.796,0.579,3.467302,7.75E-15,0.288409,269,*,*,*,*,5.55,5.55,7090000,7340000000000000000000000000000,*
1618,J1816-5643,337.673,-17.898,0.217923,1.93E-18,4.588779,52.4,*,*,*,*,3.06,3.06,1790000000,7360000000000000000000000000000,*
369,J1001-5559,280.691,-0.648,1.661177,8.6E-16,0.601983,159.3,*,*,*,*,3.94,3.94,30600000,7410000000000000000000000000000,*
1574,J1809-3547,356.541,-7.766,0.860388,1.2E-16,1.162267,193.84,*,*,*,*,13.02,13.02,114000000,7440000000000000000000000000000,*
631,B1325-49,309.122,13.066,1.478721,6.1E-16,0.67626,118,*,*,*,*,7.78,7.78,38400000,7450000000000000000000000000000,*
2180,J1919+1745,51.897,1.987,2.081343,1.71E-15,0.480459,142.3,*,*,*,*,6.86,6.86,19300000,7470000000000000000000000000000,*
1888,J1845+0623,37.923,4.308,1.421654,5.46E-16,0.703406,113,*,*,*,*,3.53,3.53,41300000,7500000000000000000000000000000,*
1686,J1824-2233,9.822,-4.435,1.161743,3.01E-16,0.860775,156.5,*,*,*,*,4.26,4.26,61200000,7570000000000000000000000000000,*
233,J0652-0142,214.538,-0.613,0.924054,1.52E-16,1.082188,116.3,*,*,*,*,5.83,5.83,96000000,7630000000000000000000000000000,*
2072,J1906+1854,51.501,5.251,1.019093,2.05E-16,0.981265,156.72,*,*,*,*,11.06,11.06,78600000,7660000000000000000000000000000,*
569,J1252-6314,303.075,-0.371,0.823339,1.08E-16,1.214566,278.4,*,*,*,*,11,11,120000000,7670000000000000000000000000000,*
1973,J1855+0422,37.314,1.052,1.678106,9.29E-16,0.59591,438,*,*,*,*,9.85,9.85,28600000,7760000000000000000000000000000,*
2294,B1943+18,55.588,-2.998,1.068708,2.42E-16,0.93571,217.7,*,*,*,*,12.77,12.77,70000000,7830000000000000000000000000000,*
1733,J1830-1135,20.193,-0.59,6.221553,4.77E-14,0.160732,257,*,*,*,*,4.36,4.36,2060000,7830000000000000000000000000000,*
2521,B2321-61,320.425,-53.172,2.347486,2.59E-15,0.425988,14,*,*,*,*,0.9,0.9,14400000,7890000000000000000000000000000,*
796,J1525-5523,323.662,1.151,0.355156,8.96E-18,2.815664,124.7,*,*,*,*,3.5,3.5,628000000,7900000000000000000000000000000,*
1103,J1653-4315,342.281,0.38,0.41928,1.5E-17,2.385042,337,*,*,*,*,5.13,5.13,443000000,8030000000000000000000000000000,*
1663,B1819-22,9.349,-4.373,1.874269,1.35E-15,0.533541,121.2,*,*,*,*,3.43,3.43,21900000,8120000000000000000000000000000,*
642,J1339-4712,311.424,14.869,0.137055,5.3E-19,7.296359,39.9,*,*,*,*,1.77,1.77,4100000000,8130000000000000000000000000000,*
1336,J1741-2733,0.636,1.582,0.892959,1.48E-16,1.119873,149.2,*,*,*,*,3.33,3.33,95900000,8180000000000000000000000000000,*
2013,J1901+0254,36.643,-0.855,1.299693,4.56E-16,0.769412,185,*,*,*,*,3.95,3.95,45200000,8200000000000000000000000000000,*
