#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
997,J1630+37,59.441,43.294,0.00332,*,301.204819,14.1,BT,12.5,*,He,0.85,0.85,*,*,*
1049,B1639+36B,59.008,40.914,0.003528,*,283.440928,29.5,BT,1.2591,1.389,He,6.5,2.69,*,*,*
1051,J1641+3627D,59.008,40.914,0.003118,*,320.718409,30.6,BT,0.592,0.924,*,6.5,2.69,*,*,*1051,J1641+3627D,59.008,40.914,0.003118,*,320.718409,30.6,BT,0.592,0.924,*,6.5,2.69,*,*,*
1052,J1641+3627E,59.008,40.914,0.002487,*,402.090873,30.3,BT,0.117,0.037,UL,6.5,2.69,*,*,*
1063,J1646-2142,358.266,15.116,0.00585,*,170.940171,29.8,BT,23,*,*,1.41,1.41,*,*,*1063,J1646-2142,358.266,15.116,0.00585,*,170.940171,29.8,BT,23,*,*,1.41,1.41,*,*,*
1127,J1701-3006A,353.578,7.322,0.005242,-1.3E-19,190.782671,114.97,BT,3.8059,3.4837,He,7.05,4.12,*,*,*
1128,J1701-3006B,353.574,7.319,0.003594,-3.48E-19,278.252962,115.21,BT,0.1445,0.2528,He,7.05,4.02,*,*,*
1129,J1701-3006C,353.572,7.316,0.007613,-6.41E-20,131.356873,114.56,BT,0.215,0.1929,UL,7.05,4.09,*,*,*
1130,J1701-3006D,353.577,7.317,0.003418,1.26E-19,292.588404,114.22,BT,1.1179,0.988,He,7.05,0.74,431000000,124000000000000000000000000000000000,*
1131,J1701-3006E,353.576,7.317,0.003234,3.1E-19,309.239712,113.79,BT,0.1585,0.0702,UL,7.05,4.04,165000000,362000000000000000000000000000000000,*
1132,J1701-3006F,353.573,7.318,0.002295,2.22E-19,435.78167,113.29,BT,0.2055,0.0573,UL,7.05,4.01,164000000,726000000000000000000000000000000000,*
1175,J1709+2313,44.522,32.209,0.004631,3.63E-21,215.926931,25.35,BT,22.7119,15.2885,He,1.83,1.83,20200000000,1440000000000000000000000000000000,10.214
1261,J1727-2946,357.137,2.921,0.027083,2.46E-19,36.923282,60.74,BT,40.3077,56.5325,CO,1.62,1.62,1740000000,490000000000000000000000000000000,0.6
1303,J1737-0811,16.933,12.318,0.004175,7.93E-21,239.519965,55.31,BT,79.5174,9.3328,UL(?),2.38,2.38,8340000000,4300000000000000000000000000000000,*
1330,J1740-5340A,338.165,-11.967,0.00365,1.68E-19,273.947918,71.8,BT,1.3541,1.6528,MS,2.2,3.21,344000000,136000000000000000000000000000000000,*
1381,J1748-2021B,7.729,3.8,0.01676,-3.29E-19,59.665418,220.92,BT,20.55,4.467,*,8.24,5.8,*,*,*1381,J1748-2021B,7.729,3.8,0.01676,-3.29E-19,59.665418,220.92,BT,20.55,4.467,*,8.24,5.8,*,*,*
1383,J1748-2021D,7.734,3.809,0.013496,5.87E-19,74.097014,224.98,BT,0.2861,0.3972,*,8.24,6.02,364000000,9420000000000000000000000000000000,*1383,J1748-2021D,7.734,3.809,0.013496,5.87E-19,74.097014,224.98,BT,0.2861,0.3972,*,8.24,6.02,364000000,9420000000000000000000000000000000,*
1385,J1748-2021F,7.727,3.802,0.003794,-1.05E-20,263.599833,220.43,BT,9.834,9.4976,*,8.24,5.77,*,*,*1385,J1748-2021F,7.727,3.802,0.003794,-1.05E-20,263.599833,220.43,BT,9.834,9.4976,*,8.24,5.77,*,*,*
1387,B1744-24A,3.836,1.696,0.011563,-3.4E-20,86.481637,242.15,BT,0.0756,0.1197,UL,5.5,4.46,*,*,*
1392,J1748-2446ae,3.839,1.687,0.003659,*,273.329343,238.75,BT,0.1707,0.0406,UL,4.41,4.41,*,*,*
1396,J1748-2446ai,3.839,1.687,0.021228,*,47.10675,233.9,BT,0.8509,2.8088,*,5.5,4.34,*,*,*1396,J1748-2446ai,3.839,1.687,0.021228,*,47.10675,233.9,BT,0.8509,2.8088,*,5.5,4.34,*,*,*
1399,J1748-2446E,3.839,1.687,0.002198,*,455.000455,236.84,BT,60.06,23.6,He,5.5,4.38,*,*,*
1403,J1748-2446I,3.839,1.687,0.00957,*,104.491133,238.73,BT,1.328,1.818,He(?),5.5,4.41,*,*,*
1404,J1748-2446J,3.839,1.687,0.080338,*,12.447421,234.35,BT,1.102,2.454,CO,5.5,4.35,*,*,*
1407,J1748-2446M,3.839,1.687,0.00357,*,280.145788,238.65,BT,0.4431,0.596,He,5.5,4.41,*,*,*
1408,J1748-2446N,3.839,1.687,0.008667,*,115.381509,238.47,BT,0.3855,1.619,CO,5.5,4.41,*,*,*
1409,J1748-2446O,3.839,1.687,0.001677,*,596.434514,236.38,BT,0.2595,0.112,UL,5.5,4.38,*,*,*
1410,J1748-2446P,3.839,1.687,0.001729,*,578.496141,238.79,BT,0.3626,1.272,MS,4.41,4.41,*,*,*
1411,J1748-2446Q,3.839,1.687,0.002812,*,355.618777,234.5,BT,30.295,28.602,*,5.5,4.35,*,*,*1411,J1748-2446Q,3.839,1.687,0.002812,*,355.618777,234.5,BT,30.295,28.602,*,5.5,4.35,*,*,*
